"LibraryName","SampleID","SRA_Accession","Amplicon","Site","Cultivar","Compartment","Replicate","Time","TreeID"
"1-VBS-CL-LE-2","C_Cortland_Leaf_2","SRR28147149","16S","C","Cortland","Leaf",2,"May","C_Cortland_2"
"1-VBS-CL-LE-2","C_Cortland_Leaf_2","SRR28148326","ITS","C","Cortland","Leaf",2,"May","C_Cortland_2"
"1-VBS-CL-LE-3","C_Cortland_Leaf_3","SRR28147148","16S","C","Cortland","Leaf",3,"May","C_Cortland_3"
"1-VBS-CL-LE-3","C_Cortland_Leaf_3","SRR28148325","ITS","C","Cortland","Leaf",3,"May","C_Cortland_3"
"1-VBS-CL-LE-4","C_Cortland_Leaf_4","SRR28147112","16S","C","Cortland","Leaf",4,"May","C_Cortland_4"
"1-VBS-CL-LE-4","C_Cortland_Leaf_4","SRR28148324","ITS","C","Cortland","Leaf",4,"May","C_Cortland_4"
"1-VBS-CL-LE-5","C_Cortland_Leaf_5","SRR28147111","16S","C","Cortland","Leaf",5,"May","C_Cortland_5"
"1-VBS-CL-LE-5","C_Cortland_Leaf_5","SRR28148323","ITS","C","Cortland","Leaf",5,"May","C_Cortland_5"
"1-VBS-LI-FL-1","C_Liberty_Flower_1","SRR28147109","16S","C","Liberty","Flower",1,"May","C_Liberty_1"
"1-VBS-LI-FL-1","C_Liberty_Flower_1","SRR28148321","ITS","C","Liberty","Flower",1,"May","C_Liberty_1"
"1-VBS-LI-FL-2","C_Liberty_Flower_2","SRR28147108","16S","C","Liberty","Flower",2,"May","C_Liberty_2"
"1-VBS-LI-FL-2","C_Liberty_Flower_2","SRR28148320","ITS","C","Liberty","Flower",2,"May","C_Liberty_2"
"1-VBS-LI-FL-3","C_Liberty_Flower_3","SRR28147107","16S","C","Liberty","Flower",3,"May","C_Liberty_3"
"1-VBS-LI-FL-3","C_Liberty_Flower_3","SRR28148319","ITS","C","Liberty","Flower",3,"May","C_Liberty_3"
"1-VBS-LI-FL-4","C_Liberty_Flower_4","SRR28147106","16S","C","Liberty","Flower",4,"May","C_Liberty_4"
"1-VBS-LI-FL-4","C_Liberty_Flower_4","SRR28148318","ITS","C","Liberty","Flower",4,"May","C_Liberty_4"
"1-VBS-LI-FL-5","C_Liberty_Flower_5","SRR28147105","16S","C","Liberty","Flower",5,"May","C_Liberty_5"
"1-VBS-LI-FL-5","C_Liberty_Flower_5","SRR28148317","ITS","C","Liberty","Flower",5,"May","C_Liberty_5"
"1-VBS-LI-LE-1","C_Liberty_Leaf_1","SRR28147104","16S","C","Liberty","Leaf",1,"May","C_Liberty_1"
"1-VBS-LI-LE-1","C_Liberty_Leaf_1","SRR28148316","ITS","C","Liberty","Leaf",1,"May","C_Liberty_1"
"1-VBS-LI-LE-2","C_Liberty_Leaf_2","SRR28147103","16S","C","Liberty","Leaf",2,"May","C_Liberty_2"
"1-VBS-LI-LE-2","C_Liberty_Leaf_2","SRR28148315","ITS","C","Liberty","Leaf",2,"May","C_Liberty_2"
"1-VBS-LI-LE-3","C_Liberty_Leaf_3","SRR28147102","16S","C","Liberty","Leaf",3,"May","C_Liberty_3"
"1-VBS-LI-LE-3","C_Liberty_Leaf_3","SRR28148314","ITS","C","Liberty","Leaf",3,"May","C_Liberty_3"
"1-VBS-LI-LE-4","C_Liberty_Leaf_4","SRR28147101","16S","C","Liberty","Leaf",4,"May","C_Liberty_4"
"1-VBS-LI-LE-4","C_Liberty_Leaf_4","SRR28148313","ITS","C","Liberty","Leaf",4,"May","C_Liberty_4"
